"","well","plateID","age","mouseID","sex"
"A1-MAA000611-3_8_M-1-1.csv","A1","MAA000611","3","8","M"
"A1-MAA000612-3_9_M-1-1.csv","A1","MAA000612","3","9","M"
"A1-MAA000870-3_10_M-1-1.csv","A1","MAA000870","3","10","M"
"A1-MAA000871-3_11_M-1-1.csv","A1","MAA000871","3","11","M"
"A1-MAA000909-3_10_M-1-1.csv","A1","MAA000909","3","10","M"
"A1-MAA000937-3_8_M-1-1.csv","A1","MAA000937","3","8","M"
"A1-MAA001539-3_56_F-1-1.csv","A1","MAA001539","3","56","F"
"A1-MAA001632-3_56_F-1-1.csv","A1","MAA001632","3","56","F"
"A1-MAA001869-3_38_F-1-1.csv","A1","MAA001869","3","38","F"
"A1-MAA001871-3_39_F-1-1.csv","A1","MAA001871","3","39","F"
"A1-MAA001872-3_39_F-1-1.csv","A1","MAA001872","3","39","F"
"A1-MAA001873-3_38_F-1-1.csv","A1","MAA001873","3","38","F"
"A1-MAA001875-3_39_F-1-1.csv","A1","MAA001875","3","39","F"
"A10-MAA000583-3_9_M-1-1.csv","A10","MAA000583","3","9","M"
"A10-MAA000611-3_8_M-1-1.csv","A10","MAA000611","3","8","M"
"A10-MAA000612-3_9_M-1-1.csv","A10","MAA000612","3","9","M"
"A10-MAA000871-3_11_M-1-1.csv","A10","MAA000871","3","11","M"
"A10-MAA000909-3_10_M-1-1.csv","A10","MAA000909","3","10","M"
"A10-MAA000937-3_8_M-1-1.csv","A10","MAA000937","3","8","M"
"A10-MAA001539-3_56_F-1-1.csv","A10","MAA001539","3","56","F"
"A10-MAA001632-3_56_F-1-1.csv","A10","MAA001632","3","56","F"
"A10-MAA001869-3_38_F-1-1.csv","A10","MAA001869","3","38","F"
"A10-MAA001871-3_39_F-1-1.csv","A10","MAA001871","3","39","F"
"A10-MAA001872-3_39_F-1-1.csv","A10","MAA001872","3","39","F"
"A10-MAA001873-3_38_F-1-1.csv","A10","MAA001873","3","38","F"
"A10-MAA001875-3_39_F-1-1.csv","A10","MAA001875","3","39","F"
"A11-MAA000583-3_9_M-1-1.csv","A11","MAA000583","3","9","M"
"A11-MAA000611-3_8_M-1-1.csv","A11","MAA000611","3","8","M"
"A11-MAA000612-3_9_M-1-1.csv","A11","MAA000612","3","9","M"
"A11-MAA000870-3_10_M-1-1.csv","A11","MAA000870","3","10","M"
"A11-MAA000871-3_11_M-1-1.csv","A11","MAA000871","3","11","M"
"A11-MAA000909-3_10_M-1-1.csv","A11","MAA000909","3","10","M"
"A11-MAA000937-3_8_M-1-1.csv","A11","MAA000937","3","8","M"
"A11-MAA001539-3_56_F-1-1.csv","A11","MAA001539","3","56","F"
"A11-MAA001632-3_56_F-1-1.csv","A11","MAA001632","3","56","F"
"A11-MAA001871-3_39_F-1-1.csv","A11","MAA001871","3","39","F"
"A11-MAA001872-3_39_F-1-1.csv","A11","MAA001872","3","39","F"
"A11-MAA001875-3_39_F-1-1.csv","A11","MAA001875","3","39","F"
"A12-MAA000583-3_9_M-1-1.csv","A12","MAA000583","3","9","M"
"A12-MAA000611-3_8_M-1-1.csv","A12","MAA000611","3","8","M"
"A12-MAA000612-3_9_M-1-1.csv","A12","MAA000612","3","9","M"
"A12-MAA000871-3_11_M-1-1.csv","A12","MAA000871","3","11","M"
"A12-MAA000909-3_10_M-1-1.csv","A12","MAA000909","3","10","M"
"A12-MAA001539-3_56_F-1-1.csv","A12","MAA001539","3","56","F"
"A12-MAA001632-3_56_F-1-1.csv","A12","MAA001632","3","56","F"
"A12-MAA001869-3_38_F-1-1.csv","A12","MAA001869","3","38","F"
"A12-MAA001871-3_39_F-1-1.csv","A12","MAA001871","3","39","F"
"A12-MAA001872-3_39_F-1-1.csv","A12","MAA001872","3","39","F"
"A12-MAA001875-3_39_F-1-1.csv","A12","MAA001875","3","39","F"
"A13-MAA000583-3_9_M-1-1.csv","A13","MAA000583","3","9","M"
"A13-MAA000611-3_8_M-1-1.csv","A13","MAA000611","3","8","M"
"A13-MAA000612-3_9_M-1-1.csv","A13","MAA000612","3","9","M"
"A13-MAA000870-3_10_M-1-1.csv","A13","MAA000870","3","10","M"
"A13-MAA000871-3_11_M-1-1.csv","A13","MAA000871","3","11","M"
"A13-MAA000909-3_10_M-1-1.csv","A13","MAA000909","3","10","M"
"A13-MAA000937-3_8_M-1-1.csv","A13","MAA000937","3","8","M"
"A13-MAA001539-3_56_F-1-1.csv","A13","MAA001539","3","56","F"
"A13-MAA001632-3_56_F-1-1.csv","A13","MAA001632","3","56","F"
"A13-MAA001869-3_38_F-1-1.csv","A13","MAA001869","3","38","F"
"A13-MAA001871-3_39_F-1-1.csv","A13","MAA001871","3","39","F"
"A13-MAA001872-3_39_F-1-1.csv","A13","MAA001872","3","39","F"
"A13-MAA001873-3_38_F-1-1.csv","A13","MAA001873","3","38","F"
"A13-MAA001875-3_39_F-1-1.csv","A13","MAA001875","3","39","F"
"A14-MAA000583-3_9_M-1-1.csv","A14","MAA000583","3","9","M"
"A14-MAA000611-3_8_M-1-1.csv","A14","MAA000611","3","8","M"
"A14-MAA000612-3_9_M-1-1.csv","A14","MAA000612","3","9","M"
"A14-MAA000871-3_11_M-1-1.csv","A14","MAA000871","3","11","M"
"A14-MAA000909-3_10_M-1-1.csv","A14","MAA000909","3","10","M"
"A14-MAA000937-3_8_M-1-1.csv","A14","MAA000937","3","8","M"
"A14-MAA001539-3_56_F-1-1.csv","A14","MAA001539","3","56","F"
"A14-MAA001632-3_56_F-1-1.csv","A14","MAA001632","3","56","F"
"A14-MAA001869-3_38_F-1-1.csv","A14","MAA001869","3","38","F"
"A14-MAA001871-3_39_F-1-1.csv","A14","MAA001871","3","39","F"
"A14-MAA001872-3_39_F-1-1.csv","A14","MAA001872","3","39","F"
"A14-MAA001873-3_38_F-1-1.csv","A14","MAA001873","3","38","F"
"A14-MAA001875-3_39_F-1-1.csv","A14","MAA001875","3","39","F"
"A15-MAA000583-3_9_M-1-1.csv","A15","MAA000583","3","9","M"
"A15-MAA000611-3_8_M-1-1.csv","A15","MAA000611","3","8","M"
"A15-MAA000612-3_9_M-1-1.csv","A15","MAA000612","3","9","M"
"A15-MAA000870-3_10_M-1-1.csv","A15","MAA000870","3","10","M"
"A15-MAA000871-3_11_M-1-1.csv","A15","MAA000871","3","11","M"
"A15-MAA000909-3_10_M-1-1.csv","A15","MAA000909","3","10","M"
"A15-MAA001539-3_56_F-1-1.csv","A15","MAA001539","3","56","F"
"A15-MAA001632-3_56_F-1-1.csv","A15","MAA001632","3","56","F"
"A15-MAA001869-3_38_F-1-1.csv","A15","MAA001869","3","38","F"
"A15-MAA001871-3_39_F-1-1.csv","A15","MAA001871","3","39","F"
"A15-MAA001872-3_39_F-1-1.csv","A15","MAA001872","3","39","F"
"A15-MAA001873-3_38_F-1-1.csv","A15","MAA001873","3","38","F"
"A15-MAA001875-3_39_F-1-1.csv","A15","MAA001875","3","39","F"
"A16-MAA000583-3_9_M-1-1.csv","A16","MAA000583","3","9","M"
"A16-MAA000611-3_8_M-1-1.csv","A16","MAA000611","3","8","M"
"A16-MAA000612-3_9_M-1-1.csv","A16","MAA000612","3","9","M"
"A16-MAA000870-3_10_M-1-1.csv","A16","MAA000870","3","10","M"
"A16-MAA000871-3_11_M-1-1.csv","A16","MAA000871","3","11","M"
"A16-MAA000909-3_10_M-1-1.csv","A16","MAA000909","3","10","M"
"A16-MAA000937-3_8_M-1-1.csv","A16","MAA000937","3","8","M"
"A16-MAA001539-3_56_F-1-1.csv","A16","MAA001539","3","56","F"
"A16-MAA001632-3_56_F-1-1.csv","A16","MAA001632","3","56","F"
"A16-MAA001869-3_38_F-1-1.csv","A16","MAA001869","3","38","F"
"A16-MAA001871-3_39_F-1-1.csv","A16","MAA001871","3","39","F"
"A16-MAA001872-3_39_F-1-1.csv","A16","MAA001872","3","39","F"
"A16-MAA001875-3_39_F-1-1.csv","A16","MAA001875","3","39","F"
"A17-MAA000611-3_8_M-1-1.csv","A17","MAA000611","3","8","M"
"A17-MAA000612-3_9_M-1-1.csv","A17","MAA000612","3","9","M"
"A17-MAA000871-3_11_M-1-1.csv","A17","MAA000871","3","11","M"
"A17-MAA000909-3_10_M-1-1.csv","A17","MAA000909","3","10","M"
"A17-MAA000937-3_8_M-1-1.csv","A17","MAA000937","3","8","M"
"A17-MAA001539-3_56_F-1-1.csv","A17","MAA001539","3","56","F"
"A17-MAA001632-3_56_F-1-1.csv","A17","MAA001632","3","56","F"
"A17-MAA001871-3_39_F-1-1.csv","A17","MAA001871","3","39","F"
"A17-MAA001872-3_39_F-1-1.csv","A17","MAA001872","3","39","F"
"A17-MAA001875-3_39_F-1-1.csv","A17","MAA001875","3","39","F"
"A18-MAA000583-3_9_M-1-1.csv","A18","MAA000583","3","9","M"
"A18-MAA000611-3_8_M-1-1.csv","A18","MAA000611","3","8","M"
"A18-MAA000612-3_9_M-1-1.csv","A18","MAA000612","3","9","M"
"A18-MAA000870-3_10_M-1-1.csv","A18","MAA000870","3","10","M"
"A18-MAA000871-3_11_M-1-1.csv","A18","MAA000871","3","11","M"
"A18-MAA000909-3_10_M-1-1.csv","A18","MAA000909","3","10","M"
"A18-MAA000937-3_8_M-1-1.csv","A18","MAA000937","3","8","M"
"A18-MAA001539-3_56_F-1-1.csv","A18","MAA001539","3","56","F"
"A18-MAA001632-3_56_F-1-1.csv","A18","MAA001632","3","56","F"
"A18-MAA001869-3_38_F-1-1.csv","A18","MAA001869","3","38","F"
"A18-MAA001871-3_39_F-1-1.csv","A18","MAA001871","3","39","F"
"A18-MAA001873-3_38_F-1-1.csv","A18","MAA001873","3","38","F"
"A18-MAA001875-3_39_F-1-1.csv","A18","MAA001875","3","39","F"
"A19-MAA000583-3_9_M-1-1.csv","A19","MAA000583","3","9","M"
"A19-MAA000612-3_9_M-1-1.csv","A19","MAA000612","3","9","M"
"A19-MAA000870-3_10_M-1-1.csv","A19","MAA000870","3","10","M"
"A19-MAA000871-3_11_M-1-1.csv","A19","MAA000871","3","11","M"
"A19-MAA000909-3_10_M-1-1.csv","A19","MAA000909","3","10","M"
"A19-MAA000937-3_8_M-1-1.csv","A19","MAA000937","3","8","M"
"A19-MAA001539-3_56_F-1-1.csv","A19","MAA001539","3","56","F"
"A19-MAA001632-3_56_F-1-1.csv","A19","MAA001632","3","56","F"
"A19-MAA001869-3_38_F-1-1.csv","A19","MAA001869","3","38","F"
"A19-MAA001872-3_39_F-1-1.csv","A19","MAA001872","3","39","F"
"A2-MAA000583-3_9_M-1-1.csv","A2","MAA000583","3","9","M"
"A2-MAA000611-3_8_M-1-1.csv","A2","MAA000611","3","8","M"
"A2-MAA000612-3_9_M-1-1.csv","A2","MAA000612","3","9","M"
"A2-MAA000870-3_10_M-1-1.csv","A2","MAA000870","3","10","M"
"A2-MAA000871-3_11_M-1-1.csv","A2","MAA000871","3","11","M"
"A2-MAA000909-3_10_M-1-1.csv","A2","MAA000909","3","10","M"
"A2-MAA000937-3_8_M-1-1.csv","A2","MAA000937","3","8","M"
"A2-MAA001539-3_56_F-1-1.csv","A2","MAA001539","3","56","F"
"A2-MAA001632-3_56_F-1-1.csv","A2","MAA001632","3","56","F"
"A2-MAA001869-3_38_F-1-1.csv","A2","MAA001869","3","38","F"
"A2-MAA001871-3_39_F-1-1.csv","A2","MAA001871","3","39","F"
"A2-MAA001872-3_39_F-1-1.csv","A2","MAA001872","3","39","F"
"A2-MAA001875-3_39_F-1-1.csv","A2","MAA001875","3","39","F"
"A20-MAA000583-3_9_M-1-1.csv","A20","MAA000583","3","9","M"
"A20-MAA000611-3_8_M-1-1.csv","A20","MAA000611","3","8","M"
"A20-MAA000612-3_9_M-1-1.csv","A20","MAA000612","3","9","M"
"A20-MAA000870-3_10_M-1-1.csv","A20","MAA000870","3","10","M"
"A20-MAA000871-3_11_M-1-1.csv","A20","MAA000871","3","11","M"
"A20-MAA000937-3_8_M-1-1.csv","A20","MAA000937","3","8","M"
"A20-MAA001539-3_56_F-1-1.csv","A20","MAA001539","3","56","F"
"A20-MAA001869-3_38_F-1-1.csv","A20","MAA001869","3","38","F"
"A20-MAA001871-3_39_F-1-1.csv","A20","MAA001871","3","39","F"
"A20-MAA001875-3_39_F-1-1.csv","A20","MAA001875","3","39","F"
"A21-MAA000583-3_9_M-1-1.csv","A21","MAA000583","3","9","M"
"A21-MAA000611-3_8_M-1-1.csv","A21","MAA000611","3","8","M"
"A21-MAA000612-3_9_M-1-1.csv","A21","MAA000612","3","9","M"
"A21-MAA000870-3_10_M-1-1.csv","A21","MAA000870","3","10","M"
"A21-MAA000871-3_11_M-1-1.csv","A21","MAA000871","3","11","M"
"A21-MAA000909-3_10_M-1-1.csv","A21","MAA000909","3","10","M"
"A21-MAA000937-3_8_M-1-1.csv","A21","MAA000937","3","8","M"
"A21-MAA001539-3_56_F-1-1.csv","A21","MAA001539","3","56","F"
"A21-MAA001632-3_56_F-1-1.csv","A21","MAA001632","3","56","F"
"A21-MAA001871-3_39_F-1-1.csv","A21","MAA001871","3","39","F"
"A21-MAA001873-3_38_F-1-1.csv","A21","MAA001873","3","38","F"
"A21-MAA001875-3_39_F-1-1.csv","A21","MAA001875","3","39","F"
"A22-MAA000583-3_9_M-1-1.csv","A22","MAA000583","3","9","M"
"A22-MAA000611-3_8_M-1-1.csv","A22","MAA000611","3","8","M"
"A22-MAA000612-3_9_M-1-1.csv","A22","MAA000612","3","9","M"
"A22-MAA000870-3_10_M-1-1.csv","A22","MAA000870","3","10","M"
"A22-MAA000871-3_11_M-1-1.csv","A22","MAA000871","3","11","M"
"A22-MAA000909-3_10_M-1-1.csv","A22","MAA000909","3","10","M"
"A22-MAA000937-3_8_M-1-1.csv","A22","MAA000937","3","8","M"
"A22-MAA001539-3_56_F-1-1.csv","A22","MAA001539","3","56","F"
"A22-MAA001632-3_56_F-1-1.csv","A22","MAA001632","3","56","F"
"A22-MAA001869-3_38_F-1-1.csv","A22","MAA001869","3","38","F"
"A22-MAA001871-3_39_F-1-1.csv","A22","MAA001871","3","39","F"
"A22-MAA001872-3_39_F-1-1.csv","A22","MAA001872","3","39","F"
"A22-MAA001873-3_38_F-1-1.csv","A22","MAA001873","3","38","F"
"A22-MAA001875-3_39_F-1-1.csv","A22","MAA001875","3","39","F"
"A3-MAA000611-3_8_M-1-1.csv","A3","MAA000611","3","8","M"
"A3-MAA000612-3_9_M-1-1.csv","A3","MAA000612","3","9","M"
"A3-MAA000870-3_10_M-1-1.csv","A3","MAA000870","3","10","M"
"A3-MAA000871-3_11_M-1-1.csv","A3","MAA000871","3","11","M"
"A3-MAA000909-3_10_M-1-1.csv","A3","MAA000909","3","10","M"
"A3-MAA000937-3_8_M-1-1.csv","A3","MAA000937","3","8","M"
"A3-MAA001539-3_56_F-1-1.csv","A3","MAA001539","3","56","F"
"A3-MAA001632-3_56_F-1-1.csv","A3","MAA001632","3","56","F"
"A3-MAA001869-3_38_F-1-1.csv","A3","MAA001869","3","38","F"
"A3-MAA001871-3_39_F-1-1.csv","A3","MAA001871","3","39","F"
"A3-MAA001872-3_39_F-1-1.csv","A3","MAA001872","3","39","F"
"A3-MAA001873-3_38_F-1-1.csv","A3","MAA001873","3","38","F"
"A3-MAA001875-3_39_F-1-1.csv","A3","MAA001875","3","39","F"
"A4-MAA000611-3_8_M-1-1.csv","A4","MAA000611","3","8","M"
"A4-MAA000612-3_9_M-1-1.csv","A4","MAA000612","3","9","M"
"A4-MAA000870-3_10_M-1-1.csv","A4","MAA000870","3","10","M"
"A4-MAA000871-3_11_M-1-1.csv","A4","MAA000871","3","11","M"
"A4-MAA000909-3_10_M-1-1.csv","A4","MAA000909","3","10","M"
"A4-MAA000937-3_8_M-1-1.csv","A4","MAA000937","3","8","M"
"A4-MAA001539-3_56_F-1-1.csv","A4","MAA001539","3","56","F"
"A4-MAA001632-3_56_F-1-1.csv","A4","MAA001632","3","56","F"
"A4-MAA001869-3_38_F-1-1.csv","A4","MAA001869","3","38","F"
"A4-MAA001871-3_39_F-1-1.csv","A4","MAA001871","3","39","F"
"A4-MAA001872-3_39_F-1-1.csv","A4","MAA001872","3","39","F"
"A4-MAA001875-3_39_F-1-1.csv","A4","MAA001875","3","39","F"
"A5-MAA000611-3_8_M-1-1.csv","A5","MAA000611","3","8","M"
"A5-MAA000612-3_9_M-1-1.csv","A5","MAA000612","3","9","M"
"A5-MAA000870-3_10_M-1-1.csv","A5","MAA000870","3","10","M"
"A5-MAA000871-3_11_M-1-1.csv","A5","MAA000871","3","11","M"
"A5-MAA000909-3_10_M-1-1.csv","A5","MAA000909","3","10","M"
"A5-MAA000937-3_8_M-1-1.csv","A5","MAA000937","3","8","M"
"A5-MAA001539-3_56_F-1-1.csv","A5","MAA001539","3","56","F"
"A5-MAA001869-3_38_F-1-1.csv","A5","MAA001869","3","38","F"
"A5-MAA001871-3_39_F-1-1.csv","A5","MAA001871","3","39","F"
"A5-MAA001872-3_39_F-1-1.csv","A5","MAA001872","3","39","F"
"A5-MAA001873-3_38_F-1-1.csv","A5","MAA001873","3","38","F"
"A5-MAA001875-3_39_F-1-1.csv","A5","MAA001875","3","39","F"
"A6-MAA000583-3_9_M-1-1.csv","A6","MAA000583","3","9","M"
"A6-MAA000611-3_8_M-1-1.csv","A6","MAA000611","3","8","M"
"A6-MAA000612-3_9_M-1-1.csv","A6","MAA000612","3","9","M"
"A6-MAA000870-3_10_M-1-1.csv","A6","MAA000870","3","10","M"
"A6-MAA000871-3_11_M-1-1.csv","A6","MAA000871","3","11","M"
"A6-MAA000909-3_10_M-1-1.csv","A6","MAA000909","3","10","M"
"A6-MAA000937-3_8_M-1-1.csv","A6","MAA000937","3","8","M"
"A6-MAA001539-3_56_F-1-1.csv","A6","MAA001539","3","56","F"
"A6-MAA001632-3_56_F-1-1.csv","A6","MAA001632","3","56","F"
"A6-MAA001869-3_38_F-1-1.csv","A6","MAA001869","3","38","F"
"A6-MAA001871-3_39_F-1-1.csv","A6","MAA001871","3","39","F"
"A6-MAA001872-3_39_F-1-1.csv","A6","MAA001872","3","39","F"
"A6-MAA001873-3_38_F-1-1.csv","A6","MAA001873","3","38","F"
"A6-MAA001875-3_39_F-1-1.csv","A6","MAA001875","3","39","F"
"A7-MAA000583-3_9_M-1-1.csv","A7","MAA000583","3","9","M"
"A7-MAA000611-3_8_M-1-1.csv","A7","MAA000611","3","8","M"
"A7-MAA000612-3_9_M-1-1.csv","A7","MAA000612","3","9","M"
"A7-MAA000871-3_11_M-1-1.csv","A7","MAA000871","3","11","M"
"A7-MAA000909-3_10_M-1-1.csv","A7","MAA000909","3","10","M"
"A7-MAA000937-3_8_M-1-1.csv","A7","MAA000937","3","8","M"
"A7-MAA001539-3_56_F-1-1.csv","A7","MAA001539","3","56","F"
"A7-MAA001632-3_56_F-1-1.csv","A7","MAA001632","3","56","F"
"A7-MAA001869-3_38_F-1-1.csv","A7","MAA001869","3","38","F"
"A7-MAA001871-3_39_F-1-1.csv","A7","MAA001871","3","39","F"
"A7-MAA001872-3_39_F-1-1.csv","A7","MAA001872","3","39","F"
"A7-MAA001875-3_39_F-1-1.csv","A7","MAA001875","3","39","F"
"A8-MAA000611-3_8_M-1-1.csv","A8","MAA000611","3","8","M"
"A8-MAA000612-3_9_M-1-1.csv","A8","MAA000612","3","9","M"
"A8-MAA000870-3_10_M-1-1.csv","A8","MAA000870","3","10","M"
"A8-MAA000871-3_11_M-1-1.csv","A8","MAA000871","3","11","M"
"A8-MAA000909-3_10_M-1-1.csv","A8","MAA000909","3","10","M"
"A8-MAA001539-3_56_F-1-1.csv","A8","MAA001539","3","56","F"
"A8-MAA001632-3_56_F-1-1.csv","A8","MAA001632","3","56","F"
"A8-MAA001869-3_38_F-1-1.csv","A8","MAA001869","3","38","F"
"A8-MAA001871-3_39_F-1-1.csv","A8","MAA001871","3","39","F"
"A8-MAA001872-3_39_F-1-1.csv","A8","MAA001872","3","39","F"
"A8-MAA001873-3_38_F-1-1.csv","A8","MAA001873","3","38","F"
"A8-MAA001875-3_39_F-1-1.csv","A8","MAA001875","3","39","F"
"A9-MAA000611-3_8_M-1-1.csv","A9","MAA000611","3","8","M"
"A9-MAA000612-3_9_M-1-1.csv","A9","MAA000612","3","9","M"
"A9-MAA000871-3_11_M-1-1.csv","A9","MAA000871","3","11","M"
"A9-MAA000909-3_10_M-1-1.csv","A9","MAA000909","3","10","M"
"A9-MAA001539-3_56_F-1-1.csv","A9","MAA001539","3","56","F"
"A9-MAA001632-3_56_F-1-1.csv","A9","MAA001632","3","56","F"
"A9-MAA001869-3_38_F-1-1.csv","A9","MAA001869","3","38","F"
"A9-MAA001871-3_39_F-1-1.csv","A9","MAA001871","3","39","F"
"A9-MAA001872-3_39_F-1-1.csv","A9","MAA001872","3","39","F"
"A9-MAA001873-3_38_F-1-1.csv","A9","MAA001873","3","38","F"
"A9-MAA001875-3_39_F-1-1.csv","A9","MAA001875","3","39","F"
"B1-MAA000583-3_9_M-1-1.csv","B1","MAA000583","3","9","M"
"B1-MAA000611-3_8_M-1-1.csv","B1","MAA000611","3","8","M"
"B1-MAA000612-3_9_M-1-1.csv","B1","MAA000612","3","9","M"
"B1-MAA000870-3_10_M-1-1.csv","B1","MAA000870","3","10","M"
"B1-MAA000871-3_11_M-1-1.csv","B1","MAA000871","3","11","M"
"B1-MAA000909-3_10_M-1-1.csv","B1","MAA000909","3","10","M"
"B1-MAA000937-3_8_M-1-1.csv","B1","MAA000937","3","8","M"
"B1-MAA001539-3_56_F-1-1.csv","B1","MAA001539","3","56","F"
"B1-MAA001632-3_56_F-1-1.csv","B1","MAA001632","3","56","F"
"B1-MAA001869-3_38_F-1-1.csv","B1","MAA001869","3","38","F"
"B1-MAA001871-3_39_F-1-1.csv","B1","MAA001871","3","39","F"
"B1-MAA001872-3_39_F-1-1.csv","B1","MAA001872","3","39","F"
"B1-MAA001873-3_38_F-1-1.csv","B1","MAA001873","3","38","F"
"B1-MAA001875-3_39_F-1-1.csv","B1","MAA001875","3","39","F"
"B10-MAA000583-3_9_M-1-1.csv","B10","MAA000583","3","9","M"
"B10-MAA000611-3_8_M-1-1.csv","B10","MAA000611","3","8","M"
"B10-MAA000612-3_9_M-1-1.csv","B10","MAA000612","3","9","M"
"B10-MAA000871-3_11_M-1-1.csv","B10","MAA000871","3","11","M"
"B10-MAA000909-3_10_M-1-1.csv","B10","MAA000909","3","10","M"
"B10-MAA000937-3_8_M-1-1.csv","B10","MAA000937","3","8","M"
"B10-MAA001539-3_56_F-1-1.csv","B10","MAA001539","3","56","F"
"B10-MAA001632-3_56_F-1-1.csv","B10","MAA001632","3","56","F"
"B10-MAA001869-3_38_F-1-1.csv","B10","MAA001869","3","38","F"
"B10-MAA001871-3_39_F-1-1.csv","B10","MAA001871","3","39","F"
"B10-MAA001872-3_39_F-1-1.csv","B10","MAA001872","3","39","F"
"B10-MAA001873-3_38_F-1-1.csv","B10","MAA001873","3","38","F"
"B10-MAA001875-3_39_F-1-1.csv","B10","MAA001875","3","39","F"
"B11-MAA000611-3_8_M-1-1.csv","B11","MAA000611","3","8","M"
"B11-MAA000612-3_9_M-1-1.csv","B11","MAA000612","3","9","M"
"B11-MAA000870-3_10_M-1-1.csv","B11","MAA000870","3","10","M"
"B11-MAA000871-3_11_M-1-1.csv","B11","MAA000871","3","11","M"
"B11-MAA000909-3_10_M-1-1.csv","B11","MAA000909","3","10","M"
"B11-MAA000937-3_8_M-1-1.csv","B11","MAA000937","3","8","M"
"B11-MAA001539-3_56_F-1-1.csv","B11","MAA001539","3","56","F"
"B11-MAA001632-3_56_F-1-1.csv","B11","MAA001632","3","56","F"
"B11-MAA001869-3_38_F-1-1.csv","B11","MAA001869","3","38","F"
"B11-MAA001871-3_39_F-1-1.csv","B11","MAA001871","3","39","F"
"B11-MAA001872-3_39_F-1-1.csv","B11","MAA001872","3","39","F"
"B12-MAA000611-3_8_M-1-1.csv","B12","MAA000611","3","8","M"
"B12-MAA000612-3_9_M-1-1.csv","B12","MAA000612","3","9","M"
"B12-MAA000871-3_11_M-1-1.csv","B12","MAA000871","3","11","M"
"B12-MAA000909-3_10_M-1-1.csv","B12","MAA000909","3","10","M"
"B12-MAA000937-3_8_M-1-1.csv","B12","MAA000937","3","8","M"
"B12-MAA001539-3_56_F-1-1.csv","B12","MAA001539","3","56","F"
"B12-MAA001632-3_56_F-1-1.csv","B12","MAA001632","3","56","F"
"B12-MAA001869-3_38_F-1-1.csv","B12","MAA001869","3","38","F"
"B12-MAA001871-3_39_F-1-1.csv","B12","MAA001871","3","39","F"
"B12-MAA001872-3_39_F-1-1.csv","B12","MAA001872","3","39","F"
"B12-MAA001875-3_39_F-1-1.csv","B12","MAA001875","3","39","F"
"B13-MAA000583-3_9_M-1-1.csv","B13","MAA000583","3","9","M"
"B13-MAA000611-3_8_M-1-1.csv","B13","MAA000611","3","8","M"
"B13-MAA000870-3_10_M-1-1.csv","B13","MAA000870","3","10","M"
"B13-MAA000871-3_11_M-1-1.csv","B13","MAA000871","3","11","M"
"B13-MAA000909-3_10_M-1-1.csv","B13","MAA000909","3","10","M"
"B13-MAA001539-3_56_F-1-1.csv","B13","MAA001539","3","56","F"
"B13-MAA001632-3_56_F-1-1.csv","B13","MAA001632","3","56","F"
"B13-MAA001871-3_39_F-1-1.csv","B13","MAA001871","3","39","F"
"B13-MAA001872-3_39_F-1-1.csv","B13","MAA001872","3","39","F"
"B13-MAA001875-3_39_F-1-1.csv","B13","MAA001875","3","39","F"
"B14-MAA000583-3_9_M-1-1.csv","B14","MAA000583","3","9","M"
"B14-MAA000611-3_8_M-1-1.csv","B14","MAA000611","3","8","M"
"B14-MAA000612-3_9_M-1-1.csv","B14","MAA000612","3","9","M"
"B14-MAA000871-3_11_M-1-1.csv","B14","MAA000871","3","11","M"
"B14-MAA000909-3_10_M-1-1.csv","B14","MAA000909","3","10","M"
"B14-MAA000937-3_8_M-1-1.csv","B14","MAA000937","3","8","M"
"B14-MAA001539-3_56_F-1-1.csv","B14","MAA001539","3","56","F"
"B14-MAA001632-3_56_F-1-1.csv","B14","MAA001632","3","56","F"
"B14-MAA001869-3_38_F-1-1.csv","B14","MAA001869","3","38","F"
"B14-MAA001871-3_39_F-1-1.csv","B14","MAA001871","3","39","F"
"B14-MAA001872-3_39_F-1-1.csv","B14","MAA001872","3","39","F"
"B14-MAA001873-3_38_F-1-1.csv","B14","MAA001873","3","38","F"
"B15-MAA000611-3_8_M-1-1.csv","B15","MAA000611","3","8","M"
"B15-MAA000612-3_9_M-1-1.csv","B15","MAA000612","3","9","M"
"B15-MAA000870-3_10_M-1-1.csv","B15","MAA000870","3","10","M"
"B15-MAA000871-3_11_M-1-1.csv","B15","MAA000871","3","11","M"
"B15-MAA000909-3_10_M-1-1.csv","B15","MAA000909","3","10","M"
"B15-MAA001539-3_56_F-1-1.csv","B15","MAA001539","3","56","F"
"B15-MAA001632-3_56_F-1-1.csv","B15","MAA001632","3","56","F"
"B15-MAA001869-3_38_F-1-1.csv","B15","MAA001869","3","38","F"
"B15-MAA001871-3_39_F-1-1.csv","B15","MAA001871","3","39","F"
"B15-MAA001872-3_39_F-1-1.csv","B15","MAA001872","3","39","F"
"B15-MAA001873-3_38_F-1-1.csv","B15","MAA001873","3","38","F"
"B16-MAA000583-3_9_M-1-1.csv","B16","MAA000583","3","9","M"
"B16-MAA000611-3_8_M-1-1.csv","B16","MAA000611","3","8","M"
"B16-MAA000612-3_9_M-1-1.csv","B16","MAA000612","3","9","M"
"B16-MAA000870-3_10_M-1-1.csv","B16","MAA000870","3","10","M"
"B16-MAA000871-3_11_M-1-1.csv","B16","MAA000871","3","11","M"
"B16-MAA000909-3_10_M-1-1.csv","B16","MAA000909","3","10","M"
